"Pais","Sigla","Clima_Predominante","Municipio","Codigo ibge Municipio","tipo de solo predominante","semente_ideal_solo","ph_min_solo","ph_max_solo","Desc","Espaçamento Min (cm) entre mudas","Espaçamento Max (cm)","Tempo de Crescimento (dias)","Umidade Ideal (%)","Despesa","Lucro","qtdProduzidaPé","Estação","Valor entre 0 e 1"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Inga","4.5","6.1","Indisponivel","300","400","6-8 meses","60-70","20.80","2.00","25","Outono","88"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Inga","4.5","6.1","Indisponivel","300","400","6-8 meses","60-70","20.80","2.00","25","Outono","89"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Inga","4.5","6.1","Indisponivel","300","400","6-8 meses","60-70","20.80","2.00","25","Outono","90"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Inga","4.5","6.1","Indisponivel","300","400","6-8 meses","60-70","20.80","2.00","25","Outono","91"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Inga","4.5","6.1","Indisponivel","300","400","6-8 meses","60-70","20.80","2.00","25","Outono","92"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Inga","4.5","6.1","Indisponivel","300","400","6-8 meses","60-70","20.80","2.00","25","Outono","93"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","94"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","95"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","96"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","97"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","98"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","99"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Açai","4.5","6.1","A semente de açaí (Euterpe oleracea) é usada para cultivar palmeiras que produzem pequenos frutos escuros, conhecidos por suas propriedades antioxidantes. O açaí é frequentemente usado para fazer smoothies e tigelas de açaí. ","300","400","3-5 anos","70-80","120","0.60","200","Verão","100"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Açai","4.5","6.1","A semente de açaí (Euterpe oleracea) é usada para cultivar palmeiras que produzem pequenos frutos escuros, conhecidos por suas propriedades antioxidantes. O açaí é frequentemente usado para fazer smoothies e tigelas de açaí. ","300","400","3-5 anos","70-80","120","0.60","200","Verão","101"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Açai","4.5","6.1","A semente de açaí (Euterpe oleracea) é usada para cultivar palmeiras que produzem pequenos frutos escuros, conhecidos por suas propriedades antioxidantes. O açaí é frequentemente usado para fazer smoothies e tigelas de açaí. ","300","400","3-5 anos","70-80","120","0.60","200","Verão","102"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Açai","4.5","6.1","A semente de açaí (Euterpe oleracea) é usada para cultivar palmeiras que produzem pequenos frutos escuros, conhecidos por suas propriedades antioxidantes. O açaí é frequentemente usado para fazer smoothies e tigelas de açaí. ","300","400","3-5 anos","70-80","120","0.60","200","Verão","103"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Açai","4.5","6.1","A semente de açaí (Euterpe oleracea) é usada para cultivar palmeiras que produzem pequenos frutos escuros, conhecidos por suas propriedades antioxidantes. O açaí é frequentemente usado para fazer smoothies e tigelas de açaí. ","300","400","3-5 anos","70-80","120","0.60","200","Verão","104"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Açai","4.5","6.1","A semente de açaí (Euterpe oleracea) é usada para cultivar palmeiras que produzem pequenos frutos escuros, conhecidos por suas propriedades antioxidantes. O açaí é frequentemente usado para fazer smoothies e tigelas de açaí. ","300","400","3-5 anos","70-80","120","0.60","200","Verão","105"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","106"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","107"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","108"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","109"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","110"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","111"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","112"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","113"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","114"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","115"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","116"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","117"
"Brasil","AC","Equatorial","Xapuri","1200709","Latossolo Vermelho-Amarelo ","Café ","4.5","6.1","Indisponivel","300","400","3-5 anos (para frutificação)","70-80","26.50","0.60","300","Outono","118"
"Brasil","AC","Equatorial","Xapuri","1200710","Latossolo Vermelho-Amarelo ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","119"
"Brasil","AC","Equatorial","Xapuri","1200711","Latossolo Vermelho-Amarelo ","Maracujá ","4.5","6.1","A semente de maracujá (Passiflora edulis) é usada para cultivar plantas trepadeiras que produzem frutos com polpa suculenta e sementes comestíveis. Os maracujás são frequentemente usados para fazer sucos e sobremesas.","100","150","1-2 anos","70-80","120.50","2.50","190","Verão","120"
"Brasil","AC","Equatorial","Xapuri","1200712","Latossolo Vermelho-Amarelo ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","121"
"Brasil","AC","Equatorial","Xapuri","1200713","Latossolo Vermelho-Amarelo ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","122"
"Brasil","AC","Equatorial","Xapuri","1200715","Latossolo Vermelho-Amarelo ","Amendoim","4.5","6.1","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","123"
"Brasil","AC","Equatorial","Xapuri","1200716","Latossolo Vermelho-Amarelo ","Feijão de Corda","4.5","6.1","A semente de feijão (Phaseolus vulgaris) é usada para cultivar plantas leguminosas que produzem vagens com sementes comestíveis. Os feijões são uma fonte importante de proteína e são consumidos em diversos pratos.","10","15","60-90","50-70","2.30","3.00","1","Primavera","124"
"Brasil","AC","Equatorial","Xapuri","1200717","Latossolo Vermelho-Amarelo ","Caju ","4.5","6.1","A semente de caju (Anacardium occidentale) é usada para cultivar árvores que produzem frutos com pedúnculo suculento e castanhas comestíveis. Os cajus são consumidos frescos e as castanhas são utilizadas em preparações culinárias.","300","400","2-3 meses (pedúnculo)","60-70","18.99","2.50","120","Verão","125"
"Brasil","AC","Equatorial","Xapuri","1200719","Latossolo Vermelho-Amarelo ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","126"
"Brasil","AC","Equatorial","Xapuri","1200720","Latossolo Vermelho-Amarelo ","Espinafre","4.5","6.1","A semente de espinafre (Spinacia oleracea) é usada para cultivar folhas verdes ricas em nutrientes. O espinafre é valorizado por sua versatilidade culinária e alto teor de ferro.","10","15","40-50","50-60","2.30","3.00","1","Primavera","127"
"Brasil","AC","Equatorial","Xapuri","1200721","Latossolo Vermelho-Amarelo ","Pepino","4.5","6.1","A semente de pepino (Cucumis sativus) é usada para cultivar plantas rasteiras que produzem frutos alongados e suculentos. Os pepinos são amplamente consumidos frescos em saladas e como lanches.","40","60","50-70","70-80","15.00","5.99","2","Outono","128"
"Brasil","AC","Equatorial","Xapuri","1200722","Latossolo Vermelho-Amarelo ","Coentro","4.5","6.1","A semente de coentro (Coriandrum sativum) é usada para cultivar plantas aromáticas e culinárias. O coentro é usado em uma variedade de culinárias e é valorizado por suas folhas e sementes.","10","15","90-120","50-60","0.50","0.60","2","Verão","129"
"Brasil","AC","Equatorial","Xapuri","1200723","Latossolo Vermelho-Amarelo ","Hortelã","4.5","6.1","A semente de hortelã (Mentha spp.) é usada para cultivar plantas aromáticas e culinárias. A hortelã é usada em chás, sobremesas e outros pratos.","20","30","60-90","50-60","3.50","0.60","7","Inverno","130"
"Brasil","AC","Equatorial","Xapuri","1200724","Latossolo Vermelho-Amarelo ","Manjericão","4.5","6.1","A semente de manjericão (Ocimum basilicum) é usada para cultivar plantas aromáticas e culinárias. O manjericão é amplamente usado em pratos mediterrâneos e é valorizado por seu aroma e sabor únicos.","20","30","60-90","50-60","15.00","5.99","2","Outono","131"
"Brasil","AC","Equatorial","Xapuri","1200727","Latossolo Vermelho-Amarelo ","Agrião","4.5","6.1","A semente de agrião (Nasturtium officinale) é usada para cultivar folhas verdes e picantes. O agrião é consumido em saladas e também tem propriedades medicinais.","10","15","30-40","50-70","0.05","3.00","1","Primavera","132"
"Brasil","AC","Equatorial","Xapuri","1200728","Latossolo Vermelho-Amarelo ","Couve","4.5","6.1","A semente de couve (Brassica oleracea var. acephala) é usada para cultivar plantas de folhas que são populares em dietas saudáveis. A couve é rica em nutrientes e é consumida cozida ou em preparações cruas.","30","40","50-80","50-70","2.30","3.00","1","Primavera","133"
"Brasil","AC","Equatorial","Xapuri","1200729","Latossolo Vermelho-Amarelo ","Alface","4.5","6.1","A semente de alface (Lactuca sativa) é usada para cultivar plantas de folhas verdes e crocantes. A alface é consumida fresca em saladas e é uma parte essencial de muitos pratos.","10","15","40-60","50-70","2.00","2.90","1","Primavera","134"
"Brasil","AC","Equatorial","Xapuri","1200730","Latossolo Vermelho-Amarelo ","Rúcula","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","4.50","3.00","2","Outono","135"
"Brasil","AC","Equatorial","Brasiléia","1200105","Gleissolo Flúvico ","Rúcula","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","4.50","3.00","2","Outono","136"
"Brasil","AC","Equatorial","Brasiléia","1200106","Gleissolo Flúvico ","Alface","3.0","5.5","A semente de alface (Lactuca sativa) é usada para cultivar plantas de folhas verdes e crocantes. A alface é consumida fresca em saladas e é uma parte essencial de muitos pratos.","10","15","40-60","50-70","2.00","2.90","1","Primavera","137"
"Brasil","AC","Equatorial","Brasiléia","1200107","Gleissolo Flúvico ","Amendoim","3.0","5.5","A semente de amendoim (Arachis hypogaea) é usada para cultivar plantas que produzem vagens subterrâneas contendo amendoins comestíveis. Os amendoins são ricos em proteínas e são consumidos torrados, crus ou em forma de manteiga.","20","30","120-150","50-60","0.35","0.60","30","Primavera","138"
"Brasil","AC","Equatorial","Brasiléia","1200108","Gleissolo Flúvico ","Arroz","3.0","5.5","A semente de arroz (Oryza sativa) é usada para cultivar plantas de grãos que são uma fonte básica de alimentação em muitas culturas. O arroz é consumido como alimento básico em diversas formas.","15","20","100-150","70-80","0.04","0.15","5000","Outono","139"
"Brasil","AC","Equatorial","Brasiléia","1200109","Gleissolo Flúvico ","Feijão de Corda","3.0","5.5","A semente de feijão (Phaseolus vulgaris) é usada para cultivar plantas leguminosas que produzem vagens com sementes comestíveis. Os feijões são uma fonte importante de proteína e são consumidos em diversos pratos.","10","15","60-90","50-70","2.30","3.00","1","Primavera","140"
"Brasil","AC","Equatorial","Brasiléia","1200112","Gleissolo Flúvico ","Hortelã","3.0","5.5","A semente de hortelã (Mentha spp.) é usada para cultivar plantas aromáticas e culinárias. A hortelã é usada em chás, sobremesas e outros pratos.","20","30","60-90","50-60","3.50","0.60","7","Inverno","141"
"Brasil","AC","Equatorial","Brasiléia","1200113","Gleissolo Flúvico ","Coentro","3.0","5.5","A semente de coentro (Coriandrum sativum) é usada para cultivar plantas aromáticas e culinárias. O coentro é usado em uma variedade de culinárias e é valorizado por suas folhas e sementes.","10","15","90-120","50-60","0.50","0.60","2","Verão","142"
"Brasil","AC","Equatorial","Brasiléia","1200117","Gleissolo Flúvico ","Cenoura","3.0","5.5","A semente de cenoura (Daucus carota) é usada para cultivar plantas que produzem raízes comestíveis em várias cores. As cenouras são apreciadas por seu sabor doce e são consumidas cruas, cozidas e em pratos diversos.","5","10","60-80","50-60","2.00","1.20","3","Verão","143"
"Brasil","AC","Equatorial","Brasiléia","1200118","Gleissolo Flúvico ","Chicória","3.0","5.5","A semente de chicória (Cichorium intybus) é usada para cultivar folhas amargas e crocantes. A chicória é frequentemente usada em saladas e pratos cozidos.","20","30","60-85","50-70","23.00","2.99","12","Primavera","144"
"Brasil","AC","Equatorial","Brasiléia","1200120","Gleissolo Flúvico ","Caruru","3.0","5.5","Indisponivel","5","10","60-80","50-60","7.00","1.20","8","Verão","145"
"Brasil","AC","Equatorial","Brasiléia","1200121","Gleissolo Flúvico ","Agrião","3.0","5.5","A semente de agrião (Nasturtium officinale) é usada para cultivar folhas verdes e picantes. O agrião é consumido em saladas e também tem propriedades medicinais.","10","15","30-40","50-70","0.05","3.00","1","Primavera","146"
"Brasil","AC","Equatorial","Brasiléia","1200123","Gleissolo Flúvico ","Abacaxi ","3.0","5.5","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","147"
"Brasil","AC","Equatorial","Brasiléia","1200124","Gleissolo Flúvico ","Mamão","3.0","5.5","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","148"
"Brasil","AC","Equatorial","Brasiléia","1200125","Gleissolo Flúvico ","Tomate","3.0","5.5","A semente de tomate (Solanum lycopersicum) é usada para cultivar plantas que produzem frutos suculentos e diversos em tamanhos, formas e cores. Os tomates são amplamente consumidos em saladas, molhos e outros pratos.","40","60","60-85","50-70","15.99","1.00","20","Primavera","149"
"Brasil","AC","Equatorial","Capixaba","1200180","Gleissolo Melânico","Cenoura","3.0","5.5","A semente de cenoura (Daucus carota) é usada para cultivar plantas que produzem raízes comestíveis em várias cores. As cenouras são apreciadas por seu sabor doce e são consumidas cruas, cozidas e em pratos diversos.","5","10","60-80","50-60","2.00","1.20","3","Verão","150"
"Brasil","AC","Equatorial","Capixaba","1200181","Gleissolo Melânico","Pepino","4.5","6.1","A semente de pepino (Cucumis sativus) é usada para cultivar plantas rasteiras que produzem frutos alongados e suculentos. Os pepinos são amplamente consumidos frescos em saladas e como lanches.","40","60","50-70","70-80","15.00","5.99","2","Outono","151"
"Brasil","AC","Equatorial","Capixaba","1200182","Gleissolo Melânico","Cebola","4.5","6.1","A semente de cebola (Allium cepa) é usada para cultivar plantas que produzem bulbos comestíveis de várias cores. As cebolas são usadas como tempero em muitas culinárias e pratos.","10","15","90-120","50-70","1.00","0.40","3","Outono","152"
"Brasil","AC","Equatorial","Capixaba","1200183","Gleissolo Melânico","Hortelã","4.5","6.1","A semente de hortelã (Mentha spp.) é usada para cultivar plantas aromáticas e culinárias. A hortelã é usada em chás, sobremesas e outros pratos.","20","30","60-90","50-60","3.50","0.60","7","Inverno","153"
"Brasil","AC","Equatorial","Capixaba","1200184","Gleissolo Melânico","Manjericão","4.5","6.1","A semente de manjericão (Ocimum basilicum) é usada para cultivar plantas aromáticas e culinárias. O manjericão é amplamente usado em pratos mediterrâneos e é valorizado por seu aroma e sabor únicos.","20","30","60-90","50-60","15.00","5.99","2","Outono","154"
"Brasil","AC","Equatorial","Capixaba","1200187","Gleissolo Melânico","Caruru","4.5","6.1","Indisponivel","5","10","60-80","50-60","7.00","1.20","8","Verão","155"
"Brasil","AC","Equatorial","Capixaba","1200188","Gleissolo Melânico","Coentro","4.5","6.1","A semente de coentro (Coriandrum sativum) é usada para cultivar plantas aromáticas e culinárias. O coentro é usado em uma variedade de culinárias e é valorizado por suas folhas e sementes.","10","15","90-120","50-60","0.50","0.60","2","Verão","156"
"Brasil","AC","Equatorial","Capixaba","1200190","Gleissolo Melânico","Agrião","4.5","6.1","A semente de agrião (Nasturtium officinale) é usada para cultivar folhas verdes e picantes. O agrião é consumido em saladas e também tem propriedades medicinais.","10","15","30-40","50-70","0.05","3.00","1","Primavera","157"
"Brasil","AC","Equatorial","Capixaba","1200191","Gleissolo Melânico","Rúcula","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","4.50","3.00","2","Outono","158"
"Brasil","AC","Equatorial","Capixaba","1200192","Gleissolo Melânico","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","159"
"Brasil","AC","Equatorial","Capixaba","1200193","Gleissolo Melânico","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","160"
"Brasil","AC","Equatorial","Capixaba","1200194","Gleissolo Melânico","Manga","4.5","6.1","A semente de manga (Mangifera indica) é usada para cultivar árvores que produzem frutos suculentos e doces em uma variedade de cores e sabores. As mangas são apreciadas em todo o mundo e podem ser consumidas frescas ou processadas.","300","400","5-10 anos","70-80","150","2.00","70","Primavera","161"
"Brasil","AC","Equatorial","Capixaba","1200195","Gleissolo Melânico","Banana","4.5","6.1","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","162"
"Brasil","AC","Equatorial","Capixaba","1200196","Gleissolo Melânico","Manga","4.5","6.1","A semente de manga (Mangifera indica) é usada para cultivar árvores que produzem frutos suculentos e doces em uma variedade de cores e sabores. As mangas são apreciadas em todo o mundo e podem ser consumidas frescas ou processadas.","300","400","5-10 anos","70-80","150","2.00","70","Primavera","163"
"Brasil","AC","Equatorial","Capixaba","1200199","Gleissolo Melânico","Limão","4.5","6.1","Indisponivel","200","300","6-9 meses (para frutificação)","70-80","120.60","0.12","50","Verão","164"
"Brasil","AC","Equatorial","Capixaba","1200200","Gleissolo Melânico","Goiaba","4.5","6.1","A semente de goiaba (Psidium guajava) é usada para cultivar árvores que produzem frutas aromáticas e repletas de vitamina C. As goiabas são consumidas frescas, em sucos e outros produtos.","300","400","3-4 anos","60-80","19.66","1.22","30","Outono","165"
"Brasil","AC","Equatorial","Capixaba","1200201","Gleissolo Melânico","Lichia","4.5","6.1","A semente de lichia (Litchi chinensis) é usada para cultivar árvores que produzem frutos pequenos e suculentos. As lichias são consumidas frescas e são apreciadas por seu sabor doce e refrescante.","300","400","3-5 anos","60-70","70.00","0.39","166","Primavera","166"
"Brasil","AC","Equatorial","Capixaba","1200202","Gleissolo Melânico","Cupuaçu","4.5","6.1","A semente de cupaçu (Syzygium aromaticum) é usada para cultivar árvores que produzem botões florais conhecidos como cupula.","200","300","180-240","70-80","2.30","3.00","1","Primavera","167"
"Brasil","AC","Equatorial","Capixaba","1200203","Gleissolo Melânico","Jaca","4.5","6.1","A semente de jaca (Artocarpus heterophyllus) é usada para cultivar árvores que produzem frutos grandes e com polpa suculenta. A jaca é apreciada por seu sabor doce e é consumida em diversas preparações culinárias.","300","400","6-8 meses","60-70","100","11.00","12","Verão","168"
"Brasil","AC","Equatorial","Capixaba","1200204","Gleissolo Melânico","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","169"
"Brasil","AC","Equatorial","Capixaba","1200205","Gleissolo Melânico","Graviola","4.5","6.1","A semente de graviola (Annona muricata) é usada para cultivar árvores que produzem frutos grandes e tropicais com polpa doce e suculenta. A graviola é valorizada por seu sabor único e é consumida fresca ou usada na fabricação de produtos.","200","300","6-8 meses","70-80","39.00","1.00","45","Inverno","170"
"Brasil","AC","Equatorial","Tarauacá","1200610","Argissolos Vermelhos ","Goiaba","5.5","6.4","A semente de goiaba (Psidium guajava) é usada para cultivar árvores que produzem frutas aromáticas e repletas de vitamina C. As goiabas são consumidas frescas, em sucos e outros produtos.","300","400","3-4 anos","60-80","19.66","1.22","30","Outono","171"
"Brasil","AC","Equatorial","Tarauacá","1200611","Argissolos Vermelhos ","Lichia","5.5","6.4","A semente de lichia (Litchi chinensis) é usada para cultivar árvores que produzem frutos pequenos e suculentos. As lichias são consumidas frescas e são apreciadas por seu sabor doce e refrescante.","300","400","3-5 anos","60-70","70.00","0.39","167","Primavera","172"
"Brasil","AC","Equatorial","Tarauacá","1200612","Argissolos Vermelhos ","Rúcula","5.5","6.4","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","4.50","3.00","2","Outono","173"
"Brasil","AC","Equatorial","Tarauacá","1200613","Argissolos Vermelhos ","Alface","5.5","6.4","A semente de alface (Lactuca sativa) é usada para cultivar plantas de folhas verdes e crocantes. A alface é consumida fresca em saladas e é uma parte essencial de muitos pratos.","10","15","40-60","50-70","2.00","2.90","1","Primavera","174"
